session,trial_index,outcome,setup_duration,search_duration,outbound,poke_latency
FloorRotation (scramble),35,success,7.632512000000133,4.200000000000728,11.832512000000861,4.50348799999847
FloorRotation (scramble),36,miss,6.614496000001964,8.299999999999272,14.914496000001236,5.023008000000118
FloorRotation (scramble),37,miss,8.063999999998487,7.050016000001051,15.114015999999538,5.002975999999762
FloorRotation (scramble),38,success,8.055488000001787,6.879007999999885,14.934496000001673,4.7750079999968875
FloorRotation (scramble),39,success,8.222015999999712,5.500992000001133,13.723008000000846,3.7999999999992724
FloorRotation (scramble),40,success,7.226016000000527,8.288000000000466,15.514016000000993,3.9569919999994454
FloorRotation (scramble),41,miss,7.052000000003318,9.84899199999927,16.90099200000259,5.017024000000674
FloorRotation (scramble),42,success,7.594976000000315,0.8940160000020114,8.488992000002327,4.0030079999996815
FloorRotation (scramble),43,miss,6.572511999998824,3.0739840000023833,9.646496000001207,5.020991999997932
FloorRotation (scramble),44,miss,6.8169920000000275,4.361983999999211,11.178975999999238,5.014015999997355
FloorRotation (scramble),45,miss,10.21600000000035,4.300991999996768,14.516991999997117,5.0179840000018885
FloorRotation (scramble),46,fail,3.0369920000011916,10.155008000001544,13.192000000002736,2.303519999997661
FloorRotation (scramble),47,miss,5.698015999998461,12.892992000000959,18.59100799999942,5.0030079999996815
